sample_id,patient_id,contrast
V001_d2-d1,V001,d2_d1
V003_d2-d1,V003,d2_d1
V014_d2-d1,V014,d2_d1
V032_d2-d1,V032,d2_d1
V062_d2-d1,V062,d2_d1
V001_d8-d1,V001,d8_d1
V003_d8-d1,V003,d8_d1
V014_d8-d1,V014,d8_d1
V032_d8-d1,V032,d8_d1
V062_d8-d1,V062,d8_d1
V001_d22-d1,V001,d22_d1
V003_d22-d1,V003,d22_d1
V014_d22-d1,V014,d22_d1
V032_d22-d1,V032,d22_d1
V062_d22-d1,V062,d22_d1
V001_d23-d22,V001,d23_d22
V003_d23-d22,V003,d23_d22
V014_d23-d22,V014,d23_d22
V032_d23-d22,V032,d23_d22
V062_d23-d22,V062,d23_d22
