sample_id,patient_id,contrast
V002_d2-d1,V002,d2_d1
V004_d2-d1,V004,d2_d1
V005_d2-d1,V005,d2_d1
V006_d2-d1,V006,d2_d1
V007_d2-d1,V007,d2_d1
V008_d2-d1,V008,d2_d1
V009_d2-d1,V009,d2_d1
V010_d2-d1,V010,d2_d1
V011_d2-d1,V011,d2_d1
V013_d2-d1,V013,d2_d1
V015_d2-d1,V015,d2_d1
V016_d2-d1,V016,d2_d1
V017_d2-d1,V017,d2_d1
V019_d2-d1,V019,d2_d1
V020_d2-d1,V020,d2_d1
V021_d2-d1,V021,d2_d1
V022_d2-d1,V022,d2_d1
V024_d2-d1,V024,d2_d1
V025_d2-d1,V025,d2_d1
V026_d2-d1,V026,d2_d1
V027_d2-d1,V027,d2_d1
V028_d2-d1,V028,d2_d1
V029_d2-d1,V029,d2_d1
V030_d2-d1,V030,d2_d1
V031_d2-d1,V031,d2_d1
V033_d2-d1,V033,d2_d1
V034_d2-d1,V034,d2_d1
V036_d2-d1,V036,d2_d1
V037_d2-d1,V037,d2_d1
V039_d2-d1,V039,d2_d1
V041_d2-d1,V041,d2_d1
V043_d2-d1,V043,d2_d1
V045_d2-d1,V045,d2_d1
V048_d2-d1,V048,d2_d1
V049_d2-d1,V049,d2_d1
V050_d2-d1,V050,d2_d1
V051_d2-d1,V051,d2_d1
V054_d2-d1,V054,d2_d1
V056_d2-d1,V056,d2_d1
V057_d2-d1,V057,d2_d1
V058_d2-d1,V058,d2_d1
V061_d2-d1,V061,d2_d1
V063_d2-d1,V063,d2_d1
V064_d2-d1,V064,d2_d1
V066_d2-d1,V066,d2_d1
V067_d2-d1,V067,d2_d1
V068_d2-d1,V068,d2_d1
V070_d2-d1,V070,d2_d1
V071_d2-d1,V071,d2_d1
V073_d2-d1,V073,d2_d1
V077_d2-d1,V077,d2_d1
V140_d2-d1,V140,d2_d1
V141_d2-d1,V141,d2_d1
V142_d2-d1,V142,d2_d1
V143_d2-d1,V143,d2_d1
V145_d2-d1,V145,d2_d1
V147_d2-d1,V147,d2_d1
V148_d2-d1,V148,d2_d1
V002_d8-d1,V002,d8_d1
V004_d8-d1,V004,d8_d1
V005_d8-d1,V005,d8_d1
V006_d8-d1,V006,d8_d1
V007_d8-d1,V007,d8_d1
V008_d8-d1,V008,d8_d1
V009_d8-d1,V009,d8_d1
V010_d8-d1,V010,d8_d1
V011_d8-d1,V011,d8_d1
V013_d8-d1,V013,d8_d1
V015_d8-d1,V015,d8_d1
V016_d8-d1,V016,d8_d1
